"temporada","time","acronym","despesas","valor_reforcos","balanco_transferencias"
"2021","Atletico-GO","ACG","0.15","25.50","0.05"
"2021","Atletico-MG","CAM","23.92","38.65","-22.64"
"2021","Bahia","ECB","0.34","10.28","6.86"
"2021","Ceara","CEA","1.65","10.28","-1.00"
"2021","Chapecoense","CHA","0","5.80","0"
"2021","Corinthians","COR","0.68","3.80","25.52"
"2021","Cuiaba","CUI","0","16.20","0.03"
"2021","Flamengo","FLA","14.00","23.78","2.80"
"2021","Fluminense","FLU","0","3.55","3.15"
"2021","Fortaleza","FOR","0.03","44.65","0.07"
"2021","Gremio","GRE","5.30","6.30","15.25"
"2021","Internacional","INT","0.18","31.65","13.82"
"2021","Juventude","JUV","0","12.30","1.50"
"2021","Palmeiras","PAL","5.00","14.05","25.00"
"2021","RBBragantino","RBB","14.35","44.65","-14.35"
"2021","Santos","SAN","2.90","3.70","12.34"
"2021","SaoPaulo","SAO","6.05","10.40","27.62"
"2021","Sport","SPO","0","9.10","0.15"
"2022","America-MG","AMG","0.25","13.98","-0.25"
"2022","Athletico-PR","CAP","13.80","70.45","-3.80"
"2022","Atletico-GO","ACG","0","16.65","0.48"
"2022","Atletico-MG","CAM","3.75","28.50","21.82"
"2022","Ceara","CEA","0.87","8.75","2.68"
"2022","Corinthians","COR","2.15","29.70","11.50"
"2022","Cuiaba","CUI","0.15","11.08","-0.15"
"2022","Flamengo","FLA","14.95","43.10","27.21"
"2022","Fluminense","FLU","3.25","23.95","12.17"
"2022","Fortaleza","FOR","3.28","17.00","-1.13"
"2022","Internacional","INT","10.10","59.40","25.23"
"2022","Juventude","JUV","0","19.20","0.90"
"2022","Palmeiras","PAL","8.60","31.65","16.80"
"2022","RBBragantino","RBB","23.85","52.10","-9.20"
"2022","Santos","SAN","0.47","12.25","13.48"
"2022","SaoPaulo","SAO","0.75","12.45","6.85"
"2022","Botafogo","BOT","12.51","28.53","-11.01"
"2022","Goias","GOI","0","12.75","0"
